State,Account.Length,Area.Code,Phone,Int.l.Plan,VMail.Plan,VMail.Message,Day.Mins,Day.Calls,Day.Charge,Night.Calls,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn
MI,147,415,382-4943,no,no,0,130.6,83,22.2,72,15.6,3,4.21,3,no
TN,3,415,400-4713,no,no,0,185,120,31.45,89,14.1,3,3.81,3,no
AK,132,415,345-9153,no,yes,39,175.7,93,29.87,118,8.6,3,2.32,2,no
MS,120,415,421-3226,no,no,0,131.7,99,22.39,116,10.7,3,2.89,1,no
WV,43,415,348-5767,no,no,0,199.9,108,33.98,103,11.3,7,3.05,1,no
MS,105,415,343-9654,no,no,0,101.4,48,17.24,53,12.2,2,3.29,1,no
NY,137,510,338-7955,no,no,0,109.8,120,18.67,103,11.9,6,3.21,1,no
NM,55,510,382-5478,no,no,0,286.7,100,48.74,122,6.9,5,1.86,2,no
ID,92,415,405-4606,no,yes,31,172.3,116,29.29,90,11.8,5,3.19,1,no
TN,120,408,410-7611,yes,no,0,179.9,72,30.58,89,13.8,2,3.73,1,yes
NM,103,415,417-6330,no,no,0,173.5,83,29.5,66,9.7,2,2.62,3,no
SC,161,510,343-2592,no,no,0,297.9,141,50.64,93,8.9,5,2.4,1,yes
WI,63,510,354-3545,no,yes,13,214.2,61,36.41,68,10.3,2,2.78,0,no
ME,149,408,408-4323,no,no,0,237.6,79,40.39,111,9.1,9,2.46,0,no
OR,136,510,366-1613,no,no,0,259.4,99,44.1,78,10.7,6,2.89,1,yes
ND,131,408,393-9548,no,yes,33,177.1,100,30.11,124,5.2,5,1.4,1,no
KS,101,415,347-9968,no,no,0,231.3,87,39.32,69,7.2,7,1.94,1,no
MS,150,510,417-6252,no,no,0,126,99,21.42,100,10.2,6,2.75,3,no
SD,122,415,406-7737,yes,yes,40,216.4,80,36.79,99,12.7,4,3.43,1,no
CO,86,408,419-7415,no,no,0,171.8,106,29.21,108,9.7,5,2.62,1,no
AZ,69,415,419-3937,no,yes,31,194.9,63,33.13,129,13.2,2,3.56,2,no
WA,109,415,361-8239,no,no,0,184,120,31.28,86,11,3,2.97,0,no
IN,65,408,336-4960,no,no,0,207.7,109,35.31,111,8,5,2.16,1,no
CT,147,415,387-6065,no,no,0,124.4,74,21.15,126,10.4,4,2.81,2,no
AL,49,415,331-6229,no,yes,28,214.4,78,36.45,107,8,13,2.16,3,no
MA,34,415,374-1981,no,no,0,293.7,89,49.93,76,11,10,2.97,2,yes
CA,92,408,355-9324,no,no,0,249.4,118,42.4,116,9.1,3,2.46,0,no
VT,128,408,344-1362,no,no,0,227.9,130,38.74,82,5.5,7,1.49,1,yes
RI,112,415,405-7467,no,no,0,168.6,102,28.66,110,9.8,5,2.65,1,no
DC,80,408,327-9957,no,no,0,51.5,90,8.76,80,9.5,4,2.57,3,no
NM,63,510,405-8753,no,no,0,207.6,96,35.29,131,13.3,2,3.59,1,no
ME,25,510,332-7391,no,no,0,242.6,69,41.24,82,14.4,6,3.89,2,no
MN,109,408,414-7410,no,no,0,162.6,138,27.64,118,11.5,4,3.11,0,no
IA,100,408,378-9478,no,no,0,210.9,85,35.85,78,9.4,5,2.54,4,no
MT,95,510,394-8006,no,no,0,156.6,88,26.62,115,12.3,5,3.32,3,no
CO,107,415,336-5495,no,no,0,204.5,108,34.77,102,13.4,1,3.62,3,no
VA,132,510,343-4696,no,no,0,81.1,86,13.79,115,10.3,2,2.78,0,no
AK,110,408,396-2335,no,no,0,100.1,90,17.02,57,11.1,8,3,3,no
NY,131,408,406-8995,yes,no,0,122.3,83,20.79,95,13.7,3,3.7,3,yes
NE,64,408,360-6416,no,no,0,261.9,113,44.52,74,13.8,4,3.73,0,no
GA,58,510,328-5050,no,no,0,243.1,105,41.33,120,7.8,4,2.11,2,no
UT,47,408,350-9720,no,yes,37,112.8,150,19.18,112,13.2,6,3.56,2,no
MS,193,415,329-4391,no,no,0,170.9,124,29.05,89,11.6,3,3.13,1,no
WA,143,510,340-4989,no,no,0,160.4,120,27.27,85,6.9,4,1.86,3,no
MI,81,415,393-6840,yes,no,0,149.4,68,25.4,97,17.9,3,4.83,3,yes
WA,60,415,366-8939,yes,no,0,205.9,97,35,139,11,2,2.97,0,yes
MA,58,408,411-6598,no,no,0,174.4,112,29.65,87,0,0,0,4,no
WI,111,415,382-6438,no,no,0,246.5,108,41.91,99,12.7,3,3.43,2,no
WA,76,510,345-6961,yes,no,0,246.8,110,41.96,123,13.2,5,3.56,0,yes
NJ,151,415,399-3840,no,no,0,118.9,128,20.21,61,13.2,10,3.56,2,no
AK,115,415,333-3704,no,no,0,245.2,105,41.68,74,7.2,8,1.94,0,no
MA,46,408,357-1085,no,no,0,139.4,81,23.7,77,13.6,6,3.67,1,no
SD,139,510,331-9149,no,no,0,196,135,33.32,92,9.8,1,2.65,3,no
WV,124,415,344-1970,no,no,0,312,112,53.04,94,12.8,4,3.46,1,yes
MS,61,510,414-8718,no,yes,27,187.5,124,31.88,129,6.4,6,1.73,4,yes
DC,45,415,384-6264,no,no,0,96.1,103,16.34,92,9.7,4,2.62,1,no
WV,94,415,396-1106,no,yes,28,92.7,107,15.76,86,9.9,4,2.67,3,no
RI,53,408,422-4956,no,yes,18,146.8,107,24.96,130,7.2,7,1.94,0,no
IA,66,510,402-2377,no,no,0,256.3,135,43.57,135,6.2,7,1.67,2,no
KY,115,510,380-5102,no,no,0,99.7,107,16.95,99,14.1,4,3.81,2,no
CT,112,415,418-5708,no,yes,27,213,121,36.21,99,11.1,3,3,4,no
WV,23,510,399-3089,no,yes,31,156.6,84,26.62,107,9.4,6,2.54,1,no
IN,141,415,354-7718,no,yes,39,116.9,127,19.87,125,12.3,2,3.32,0,no
KS,101,510,413-1061,no,yes,25,144.1,144,24.5,107,14.5,3,3.92,1,no
WI,20,408,344-5967,no,no,0,186.8,89,31.76,105,12.3,6,3.32,2,no
KS,110,415,383-1657,yes,no,0,293.3,79,49.86,91,14.5,4,3.92,0,yes
DC,103,510,386-2317,no,yes,31,107.7,124,18.31,98,8.9,3,2.4,0,no
OR,72,510,345-7900,no,no,0,141.3,133,24.02,97,11.2,3,3.02,2,no
UT,32,510,370-9563,no,yes,26,243.5,137,41.4,149,9,9,2.43,1,no
PA,69,415,390-5686,no,no,0,228.2,70,38.79,60,10.7,5,2.89,3,no
DE,110,510,346-2359,no,no,0,148.5,115,25.25,112,12.4,3,3.35,1,no
DC,11,415,343-1323,no,yes,28,190.6,86,32.4,80,6,3,1.62,3,no
HI,99,415,346-2530,no,no,0,62.9,81,10.69,121,8.5,5,2.3,1,no
CA,37,415,345-1243,no,no,0,191.1,69,32.49,117,12.9,1,3.48,0,no
OK,49,415,336-6085,no,no,0,213.8,79,36.35,128,15.6,7,4.21,0,no
IN,117,415,362-5899,no,no,0,118.4,126,20.13,56,13.6,3,3.67,5,yes
NE,174,415,331-3698,no,no,0,124.3,76,21.13,115,15.5,5,4.19,3,no
